Image,Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
curls,Floyd-Steinberg,Softmax (α=0.5),RGB,11.2343418881,0.425606849493,21.4518145709,11.4110535291,0.653233706951,0.0143967866898
curls,Floyd-Steinberg,Softmax (α=0.5),CIELAB,11.1575734883,0.317779152203,18.7833302778,7.2052176275,0.803757309914,0.0360364317894
curls,Floyd-Steinberg,Softmax (α=0.5),CIEXYY,13.3701677071,0.492365960861,14.8591813585,9.37908956186,0.460078895092,0.171634554863
curls,Floyd-Steinberg,Error-scaled (scale),RGB,13.0319374906,0.497303839459,17.0559893196,10.2451834988,0.446764826775,0.0389605164528
curls,Floyd-Steinberg,Error-scaled (scale),CIELAB,12.8449242588,0.454363458143,15.1287551473,9.18166903907,0.524796366692,0.0613290667534
curls,Floyd-Steinberg,Error-scaled (scale),CIEXYY,13.0290221621,0.465869054592,15.5066619192,10.4165041706,0.410824686289,0.146448731422
curls,Floyd-Steinberg,Error-scaled (weighted_target),RGB,11.2568145797,0.434813589303,22.0759744336,11.8793463023,0.628589093685,0.0100023150444
curls,Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,11.292160524,0.334771953013,18.3750160432,7.27285623314,0.760158658028,0.0358996987343
curls,Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,11.4383700156,0.272553600503,18.1203576803,12.2345983992,0.80254137516,0.189794898033
curls,Floyd-Steinberg,Error-scaled (confidence),RGB,12.3122640898,0.480231333249,18.9469704927,10.8530209505,0.515389561653,0.0193240046501
curls,Floyd-Steinberg,Error-scaled (confidence),CIELAB,12.2553850852,0.416786499621,16.3132013166,8.61862279078,0.628588438034,0.0418282747269
curls,Floyd-Steinberg,Error-scaled (confidence),CIEXYY,12.9263643647,0.45446216036,15.9666844878,9.84333200039,0.446803599596,0.12400752306
curls,Jarvis-Judice-Ninke,Nearest-colour,RGB,11.285232327,0.433393109167,21.9850352142,11.8624319077,0.775753259659,0.0125781297684
curls,Jarvis-Judice-Ninke,Nearest-colour,CIELAB,11.3268115841,0.334684029543,18.2838671436,7.26032972029,0.849292039871,0.0383349657059
curls,Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,11.4177831226,0.264692363684,18.0671089581,12.3776205278,0.8378251791,0.185072600842
curls,Jarvis-Judice-Ninke,Weight-driven,RGB,13.7584007802,0.520564390897,15.363449051,11.7325674891,0.380934327841,0.170279562473
curls,Jarvis-Judice-Ninke,Weight-driven,CIELAB,13.7584007802,0.520564390897,15.363449051,11.7325674891,0.380934327841,0.170008540154
curls,Jarvis-Judice-Ninke,Weight-driven,CIEXYY,13.7584024851,0.520565393263,15.3634498113,11.7325671042,0.380934327841,0.169977843761
curls,Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),RGB,13.4999973532,0.518879893519,16.1466528752,11.9882647026,0.397751510143,0.157212078571
curls,Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIELAB,13.6179787789,0.52094236124,15.5162742343,11.1298292447,0.389836758375,0.162890911102
curls,Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIEXYY,13.7259147233,0.523687522154,15.1784641117,11.2228632556,0.380669146776,0.170833110809
curls,Jarvis-Judice-Ninke,Softmax (α=0.5),RGB,11.5006969385,0.451727794559,20.7441372552,11.3907961389,0.686959981918,0.0293944478035
curls,Jarvis-Judice-Ninke,Softmax (α=0.5),CIELAB,11.3326334203,0.334851247758,18.2782745512,7.25992206671,0.845239162445,0.037036716938
curls,Jarvis-Judice-Ninke,Softmax (α=0.5),CIEXYY,13.4057106759,0.497776551188,14.8019570315,9.40752128533,0.453103840351,0.166120946407
curls,Jarvis-Judice-Ninke,Error-scaled (scale),RGB,13.3439423721,0.503934586953,16.2416113842,9.96564049421,0.512040376663,0.0540449023247
curls,Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,13.1409135096,0.468238626536,14.6230279671,9.35097311832,0.560359716415,0.0748919844627
curls,Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,13.0559160153,0.466162045487,15.3776084202,10.6727165394,0.426287680864,0.157087147236
curls,Jarvis-Judice-Ninke,Error-scaled (weighted_target),RGB,11.5013759116,0.46226957751,21.3720586324,11.8056188219,0.687113940716,0.0180707573891
curls,Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIELAB,11.5239082573,0.356270734527,17.8902774692,7.23070646741,0.769895970821,0.0397641062737
curls,Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIEXYY,11.827763857,0.317768134521,17.6894155874,10.722696596,0.751580476761,0.18584638834
curls,Jarvis-Judice-Ninke,Error-scaled (confidence),RGB,12.6869919803,0.492417527796,17.9944652633,10.4937362764,0.602814972401,0.0286784768105
curls,Jarvis-Judice-Ninke,Error-scaled (confidence),CIELAB,12.6027917454,0.442907004379,15.613089043,8.71245641336,0.657278776169,0.0505278110504
curls,Jarvis-Judice-Ninke,Error-scaled (confidence),CIEXYY,12.96704706,0.456073491121,15.817458329,10.2404018645,0.466782689095,0.137951135635
curls,Stucki,Nearest-colour,RGB,11.2511660708,0.430004018434,22.0816350762,11.8763981116,0.696984529495,0.0124912261963
curls,Stucki,Nearest-colour,CIELAB,11.2975087025,0.331537707309,18.353046252,7.26307664871,0.792306661606,0.0373346805573
curls,Stucki,Nearest-colour,CIEXYY,11.372525181,0.259875603306,18.1281821814,12.5815657672,0.824090957642,0.186384081841
curls,Stucki,Weight-driven,RGB,13.7584007802,0.520564390897,15.363449051,11.7325674891,0.380934327841,0.170279562473
curls,Stucki,Weight-driven,CIELAB,13.7584007802,0.520564390897,15.363449051,11.7325674891,0.380934327841,0.170008540154
curls,Stucki,Weight-driven,CIEXYY,13.7584024851,0.520565393263,15.3634498113,11.7325671042,0.380934327841,0.169977843761
curls,Stucki,Weighted-nearest (α=0.5),RGB,13.5040366272,0.518673772327,16.128195856,11.9796642672,0.395173460245,0.155891060829
curls,Stucki,Weighted-nearest (α=0.5),CIELAB,13.621054075,0.520876178411,15.5166701049,11.1624123166,0.387828588486,0.163529455662
curls,Stucki,Weighted-nearest (α=0.5),CIEXYY,13.7283415277,0.523559551708,15.1880941532,11.2455333131,0.381432801485,0.170829951763
curls,Stucki,Softmax (α=0.5),RGB,11.4607710039,0.447652489111,20.850605203,11.394997728,0.637237131596,0.0239316225052
